date,platform,campaign_id,campaign_name,impressions,clicks,spend,conversions,conversion_value,ctr,cpc,cpm,roas
2026-01-01,dv360,DV_IO_001,Programmatic Display — Prospecting,188044,3620,738.28,113.1,17341.62,0.0193,0.2,3.93,23.49
2026-01-01,dv360,DV_IO_002,YouTube Pre-roll — Brand,43407,207,688.8,1.6,124.0,0.0048,3.33,15.87,0.18
2026-01-01,dv360,DV_IO_003,Programmatic Video — Retargeting,164487,2614,731.09,56.0,1369.76,0.0159,0.28,4.44,1.87
2026-01-01,google_ads,GADS_001,Search — Brand Keywords,23907,72,481.29,4.1,82.25,0.003,6.68,20.13,0.17
2026-01-01,google_ads,GADS_002,Search — Competitor Keywords,52359,536,427.54,9.4,362.56,0.0102,0.8,8.17,0.85
2026-01-01,google_ads,GADS_003,Performance Max — All Products,44324,1957,192.73,124.6,13633.73,0.0442,0.1,4.35,70.74
2026-01-01,google_ads,GADS_004,Display — Retargeting,50864,1113,380.29,0.1,5.75,0.0219,0.34,7.48,0.02
2026-01-01,meta,META_001,Brand Awareness Q1,49304,2125,410.26,99.0,13692.69,0.0431,0.19,8.32,33.38
2026-01-01,meta,META_002,Retargeting — Website Visitors,28442,1062,454.21,89.0,7660.23,0.0373,0.43,15.97,16.86
2026-01-01,meta,META_003,Prospecting — Lookalike 1%,38172,648,182.29,27.0,1918.35,0.017,0.28,4.78,10.52
2026-01-01,meta,META_004,App Install — iOS,77474,2331,466.27,144.0,8405.28,0.0301,0.2,6.02,18.03
2026-01-01,x_ads,X_001,Promoted Tweets — Engagement,13118,175,38.55,6.0,228.9,0.0133,0.22,2.94,5.94
2026-01-01,x_ads,X_002,Website Clicks — Fintech Audience,36172,1308,64.06,4.0,304.04,0.0362,0.05,1.77,4.75
2026-01-01,x_ads,X_003,Follower Campaign — Brand,16533,592,119.76,15.0,1246.95,0.0358,0.2,7.24,10.41
2026-01-02,dv360,DV_IO_001,Programmatic Display — Prospecting,147081,1670,645.52,63.7,6462.37,0.0114,0.39,4.39,10.01
2026-01-02,dv360,DV_IO_002,YouTube Pre-roll — Brand,45317,73,440.21,1.4,120.3,0.0016,6.03,9.71,0.27
2026-01-02,dv360,DV_IO_003,Programmatic Video — Retargeting,55675,1103,698.62,42.7,7060.02,0.0198,0.63,12.55,10.11
2026-01-02,google_ads,GADS_001,Search — Brand Keywords,57004,953,41.07,6.3,737.48,0.0167,0.04,0.72,17.96
2026-01-02,google_ads,GADS_002,Search — Competitor Keywords,49905,2890,384.76,216.2,16956.57,0.0579,0.13,7.71,44.07
2026-01-02,google_ads,GADS_003,Performance Max — All Products,37978,2231,131.2,134.1,4343.5,0.0587,0.06,3.45,33.11
2026-01-02,google_ads,GADS_004,Display — Retargeting,20950,635,457.55,33.2,5847.18,0.0303,0.72,21.84,12.78
2026-01-02,meta,META_001,Brand Awareness Q1,49630,2280,466.84,112.0,14993.44,0.0459,0.2,9.41,32.12
2026-01-02,meta,META_002,Retargeting — Website Visitors,79125,2987,444.35,233.0,24583.83,0.0378,0.15,5.62,55.33
2026-01-02,meta,META_003,Prospecting — Lookalike 1%,44172,738,196.18,49.0,2936.08,0.0167,0.27,4.44,14.97
2026-01-02,meta,META_004,App Install — iOS,68098,2025,333.8,109.0,13059.29,0.0297,0.16,4.9,39.12
2026-01-02,x_ads,X_001,Promoted Tweets — Engagement,39353,361,167.59,10.0,888.6,0.0092,0.46,4.26,5.3
2026-01-02,x_ads,X_002,Website Clicks — Fintech Audience,31089,518,115.26,12.0,710.88,0.0167,0.22,3.71,6.17
2026-01-02,x_ads,X_003,Follower Campaign — Brand,33089,449,99.37,10.0,283.2,0.0136,0.22,3.0,2.85
2026-01-03,dv360,DV_IO_001,Programmatic Display — Prospecting,163914,2095,742.59,48.4,1397.79,0.0128,0.35,4.53,1.88
2026-01-03,dv360,DV_IO_002,YouTube Pre-roll — Brand,44890,483,174.97,1.8,55.19,0.0108,0.36,3.9,0.32
2026-01-03,dv360,DV_IO_003,Programmatic Video — Retargeting,27547,167,224.39,3.0,488.73,0.0061,1.34,8.15,2.18
2026-01-03,google_ads,GADS_001,Search — Brand Keywords,53387,256,365.04,14.4,1148.69,0.0048,1.43,6.84,3.15
2026-01-03,google_ads,GADS_002,Search — Competitor Keywords,12188,183,516.68,13.8,1628.81,0.015,2.82,42.39,3.15
2026-01-03,google_ads,GADS_003,Performance Max — All Products,48801,798,544.33,23.4,1322.57,0.0164,0.68,11.15,2.43
2026-01-03,google_ads,GADS_004,Display — Retargeting,13099,379,355.59,13.4,1419.86,0.0289,0.94,27.15,3.99
2026-01-03,meta,META_001,Brand Awareness Q1,22966,1041,391.16,65.0,6949.15,0.0453,0.38,17.03,17.77
2026-01-03,meta,META_002,Retargeting — Website Visitors,25585,1165,330.16,85.0,9837.9,0.0455,0.28,12.9,29.8
2026-01-03,meta,META_003,Prospecting — Lookalike 1%,41130,1411,375.55,49.0,4280.64,0.0343,0.27,9.13,11.4
2026-01-03,meta,META_004,App Install — iOS,41755,1830,116.55,145.0,5905.85,0.0438,0.06,2.79,50.67
2026-01-03,x_ads,X_001,Promoted Tweets — Engagement,35941,719,30.87,12.0,354.6,0.02,0.04,0.86,11.49
2026-01-03,x_ads,X_002,Website Clicks — Fintech Audience,26738,312,251.84,3.0,238.02,0.0117,0.81,9.42,0.95
2026-01-03,x_ads,X_003,Follower Campaign — Brand,22220,83,66.37,2.0,192.74,0.0037,0.8,2.99,2.9
2026-01-04,dv360,DV_IO_001,Programmatic Display — Prospecting,157919,1667,362.57,56.0,7468.72,0.0106,0.22,2.3,20.6
2026-01-04,dv360,DV_IO_002,YouTube Pre-roll — Brand,148134,1497,549.53,68.9,1470.33,0.0101,0.37,3.71,2.68
2026-01-04,dv360,DV_IO_003,Programmatic Video — Retargeting,118539,1429,255.58,39.2,6658.9,0.0121,0.18,2.16,26.05
2026-01-04,google_ads,GADS_001,Search — Brand Keywords,12131,618,449.51,12.4,2449.12,0.0509,0.73,37.05,5.45
2026-01-04,google_ads,GADS_002,Search — Competitor Keywords,36509,1567,581.57,4.5,154.22,0.0429,0.37,15.93,0.27
